dateh;hour;lease;t1;t2;hum;wind_speed;weather_code;weather_code_desc;is_holiday;is_holiday_desc;is_weekend;is_weekend_desc;season_type;season_type_desc
25-10-2015;1:00:00;641;9;7;80;47.5;1;Despejado;0;No Feriado;1;FdS;2;Otono
17-11-2015;2:00:00;644;15;15;59;56.5;3;Parcialmente Nublado;0;No Feriado;0;DdS;2;Otono
08-02-2016;3:00:00;556;9;4;71;56;7;Lluvia;0;No Feriado;0;DdS;3;Invierno
28-03-2016;4:00:00;65;5;-2;87;54;7;Lluvia;1;Feriado;0;DdS;0;Primavera
28-03-2016;5:00:00;47;9;4;73.5;52;7;Lluvia;1;Feriado;0;DdS;0;Primavera
17-11-2015;6:00:00;934;15;15;59;51;3;Parcialmente Nublado;0;No Feriado;0;DdS;2;Otono
08-02-2016;7:00:00;964;9;4;66;51;3;Parcialmente Nublado;0;No Feriado;0;DdS;3;Invierno
28-03-2016;8:00:00;169;7.5;2;73.5;50;3;Parcialmente Nublado;1;Feriado;0;DdS;0;Primavera
08-02-2016;9:00:00;612;9.5;5;64.5;49.5;7;Lluvia;0;No Feriado;0;DdS;3;Invierno
10-01-2015;10:00:00;619;14;14;77;48;3;Parcialmente Nublado;0;No Feriado;1;FdS;3;Invierno
31-03-2015;11:00:00;894;13;13;39.5;48;1;Despejado;0;No Feriado;0;DdS;0;Primavera
31-03-2015;12:00:00;737;12;12;42.5;48;2;Nubosidad Variable;0;No Feriado;0;DdS;0;Primavera
31-03-2015;13:00:00;1635;11;11;58;48;3;Parcialmente Nublado;0;No Feriado;0;DdS;0;Primavera
31-03-2015;14:00:00;963;12;12;44;47.5;1;Despejado;0;No Feriado;0;DdS;0;Primavera
29-03-2015;15:00:00;856;14;14;65;47;2;Nubosidad Variable;0;No Feriado;1;FdS;0;Primavera
29-11-2015;16:00:00;885;14;14;67;47;3;Parcialmente Nublado;0;No Feriado;1;FdS;2;Otono
29-03-2015;17:00:00;699;13.5;13.5;77;47;7;Lluvia;0;No Feriado;1;FdS;0;Primavera
01-02-2016;18:00:00;1534;13;13;55;47;2;Nubosidad Variable;0;No Feriado;0;DdS;3;Invierno
31-03-2015;19:00:00;992;12.5;12.5;44;47;1;Despejado;0;No Feriado;0;DdS;0;Primavera
08-02-2016;20:00:00;625;10;6;56;47;3;Parcialmente Nublado;0;No Feriado;0;DdS;3;Invierno
07-01-2016;21:00:00;655;8.5;3.5;69;47;3;Parcialmente Nublado;0;No Feriado;0;DdS;3;Invierno
31-03-2015;22:00:00;974;13;13;41;46.5;1;Despejado;0;No Feriado;0;DdS;0;Primavera
08-02-2016;23:00:00;527;9.5;4.5;69;46.5;7;Lluvia;0;No Feriado;0;DdS;3;Invierno
18-05-2015;0:00:00;770;15;15;57;46;3;Parcialmente Nublado;0;No Feriado;0;DdS;0;Primavera
29-11-2015;1:00:00;1046;14;14;67;46;3;Parcialmente Nublado;0;No Feriado;1;FdS;2;Otono
31-03-2015;2:00:00;21;13;13;77;46;3;Parcialmente Nublado;0;No Feriado;0;DdS;0;Primavera
31-03-2015;3:00:00;3297;11;11;58;46;3;Parcialmente Nublado;0;No Feriado;0;DdS;0;Primavera
08-02-2016;4:00:00;671;10;6;56;46;3;Parcialmente Nublado;0;No Feriado;0;DdS;3;Invierno
08-02-2016;5:00:00;2336;9.5;5;62;46;3;Parcialmente Nublado;0;No Feriado;0;DdS;3;Invierno
28-03-2016;6:00:00;47;8;3;76;46;3;Parcialmente Nublado;1;Feriado;0;DdS;0;Primavera
17-11-2015;7:00:00;1525;16;16;59;45.5;3;Parcialmente Nublado;0;No Feriado;0;DdS;2;Otono
31-03-2015;8:00:00;872;11;11;50;45.5;2;Nubosidad Variable;0;No Feriado;0;DdS;0;Primavera
02-03-2015;9:00:00;769;8;3;44.5;45.5;2;Nubosidad Variable;0;No Feriado;0;DdS;0;Primavera
02-03-2016;10:00:00;637;6.5;1;61.5;45.5;3;Parcialmente Nublado;0;No Feriado;0;DdS;0;Primavera
29-11-2015;11:00:00;1091;14;14;65;45;3;Parcialmente Nublado;0;No Feriado;1;FdS;2;Otono
05-12-2015;12:00:00;595;13;13;63;45;2;Nubosidad Variable;0;No Feriado;1;FdS;3;Invierno
15-01-2015;13:00:00;23;11.5;11.5;79.5;45;7;Lluvia;0;No Feriado;0;DdS;3;Invierno
02-03-2016;14:00:00;595;5.5;-0.5;76;45;3;Parcialmente Nublado;0;No Feriado;0;DdS;0;Primavera
05-05-2015;15:00:00;1053;16;16;48;44.5;2;Nubosidad Variable;0;No Feriado;0;DdS;0;Primavera
15-01-2015;16:00:00;25;11;11;82;44.5;26;Nieve;0;No Feriado;0;DdS;3;Invierno
31-03-2015;17:00:00;1716;11;11;58;44.5;2;Nubosidad Variable;0;No Feriado;0;DdS;0;Primavera
31-03-2015;18:00:00;2476;11;11;48.5;44.5;7;Lluvia;0;No Feriado;0;DdS;0;Primavera
08-02-2016;19:00:00;490;9;4.5;73.5;44.5;7;Lluvia;0;No Feriado;0;DdS;3;Invierno
02-03-2015;20:00:00;642;7;2;49.5;44.5;2;Nubosidad Variable;0;No Feriado;0;DdS;0;Primavera
18-11-2015;21:00:00;1092;16;16;59;44;3;Parcialmente Nublado;0;No Feriado;0;DdS;2;Otono
09-01-2015;22:00:00;686;15;15;72;44;3;Parcialmente Nublado;0;No Feriado;0;DdS;3;Invierno
07-01-2016;23:00:00;415;8;3;82;44;3;Parcialmente Nublado;0;No Feriado;0;DdS;3;Invierno
02-06-2015;0:00:00;1081;18.5;18.5;66;43.5;3;Parcialmente Nublado;0;No Feriado;0;DdS;1;Verano
05-05-2015;1:00:00;1155;16;16;43.5;43.5;2;Nubosidad Variable;0;No Feriado;0;DdS;0;Primavera
05-05-2015;2:00:00;3302;15;15;53;43.5;3;Parcialmente Nublado;0;No Feriado;0;DdS;0;Primavera
01-02-2016;3:00:00;851;12;12;56;43.5;3;Parcialmente Nublado;0;No Feriado;0;DdS;3;Invierno
28-03-2016;4:00:00;1146;12;12;45.5;43.5;1;Despejado;1;Feriado;0;DdS;0;Primavera
