row_id,country,is_urban,age,female,married,religion,relationship_to_hh_head,education_level,literacy,can_add,can_divide,can_calc_percents,can_calc_compounding,employed_last_year,employment_category_last_year,employment_type_last_year,share_hh_income_provided,income_ag_livestock_last_year,income_friends_family_last_year,income_government_last_year,income_own_business_last_year,income_private_sector_last_year,income_public_sector_last_year,num_times_borrowed_last_year,borrowing_recency,formal_savings,informal_savings,cash_property_savings,has_insurance,has_investment,bank_interest_rate,mm_interest_rate,mfi_interest_rate,other_fsp_interest_rate,num_shocks_last_year,avg_shock_strength_last_year,borrowed_for_emergency_last_year,borrowed_for_daily_expenses_last_year,borrowed_for_home_or_biz_last_year,phone_technology,can_call,can_text,can_use_internet,can_make_transaction,phone_ownership,advanced_phone_use,reg_bank_acct,reg_mm_acct,reg_formal_nbfi_account,financially_included,active_bank_user,active_mm_user,active_formal_nbfi_user,active_informal_nbfi_user,nonreg_active_mm_user,num_formal_institutions_last_year,num_informal_institutions_last_year,num_financial_activities_last_year
0,C,False,18.0,True,True,P,Other,1.0,True,True,True,True,True,False,housewife_or_student,not_working,1.0,False,False,False,False,False,False,0,0,False,False,False,False,False,,,,,0,0.0,False,False,False,0,True,True,False,False,1,False,True,False,False,True,True,False,False,False,False,1,0,1
1,C,True,30.0,True,True,P,Other,1.0,True,True,True,False,False,False,housewife_or_student,not_working,,False,False,False,False,False,False,0,0,False,False,False,False,False,,,,,0,0.0,False,False,False,1,True,False,False,False,2,False,True,False,False,True,True,False,False,False,False,1,0,0
2,A,False,20.0,True,True,Q,Spouse,1.0,True,True,True,True,False,True,employed,irregular_seasonal,1.0,False,False,False,False,False,False,1,2,False,False,False,False,False,,,,,0,0.0,False,False,False,1,True,False,False,False,2,False,False,False,False,False,False,False,False,False,False,0,0,0
3,A,False,61.0,False,True,Q,Head,0.0,False,True,True,False,True,True,employed,self_employed,,False,False,False,False,False,False,0,0,False,False,False,False,False,,,,,0,0.0,False,False,False,0,True,False,False,False,0,False,False,False,False,False,False,False,False,False,False,0,0,0
4,D,False,26.0,True,True,X,Spouse,1.0,True,False,True,False,False,False,housewife_or_student,not_working,2.0,False,True,False,False,False,False,0,0,False,False,True,False,False,,,,,0,0.0,False,False,False,0,True,True,False,True,1,False,False,False,False,False,False,False,False,False,False,1,0,3
5,A,True,36.0,True,True,Q,Spouse,1.0,False,True,True,False,False,False,housewife_or_student,not_working,1.0,False,True,False,False,False,False,1,2,True,False,False,False,False,,,,,1,4.0,True,True,False,0,False,False,False,False,1,False,False,False,True,True,False,False,True,False,False,1,0,0
6,C,False,35.0,False,True,P,Head,1.0,False,True,True,False,True,True,employed,irregular_seasonal,5.0,True,False,False,False,True,False,0,0,False,False,False,False,False,,,,,0,0.0,False,False,False,0,True,False,False,False,1,False,True,False,False,True,True,False,False,False,False,1,0,1
7,D,True,33.0,True,True,Q,Spouse,1.0,True,True,True,True,True,True,employed,self_employed,3.0,True,False,False,True,False,False,0,0,False,False,True,True,False,,,,,1,1.0,False,False,False,2,True,True,False,True,2,False,False,True,False,True,False,False,False,False,False,0,0,0
8,G,False,42.0,False,False,X,Head,2.0,True,True,True,False,False,True,employed,salaried,5.0,False,True,False,False,False,True,3,2,True,False,False,True,True,,,,,1,5.0,False,False,True,3,True,True,True,True,2,True,True,True,True,True,True,True,True,False,False,3,0,7
9,C,False,32.0,True,True,P,Spouse,1.0,True,True,True,True,True,False,housewife_or_student,not_working,1.0,False,True,False,False,False,False,0,0,False,False,False,False,False,,,,,0,0.0,False,False,False,1,True,False,False,False,2,False,True,False,False,True,True,False,False,False,False,1,0,1
10,A,False,29.0,False,True,Q,Head,0.0,False,True,True,False,False,True,employed,irregular_seasonal,5.0,False,False,False,False,False,False,0,0,False,False,False,False,False,,,,,0,0.0,False,False,False,0,True,False,False,False,1,False,False,False,False,False,False,False,False,False,False,1,0,1
11,D,False,26.0,True,True,X,Spouse,1.0,False,False,True,True,True,True,employed,irregular_seasonal,1.0,True,False,False,True,False,False,0,0,False,False,False,False,True,,,,,1,2.0,False,False,False,0,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,0,0,0
12,F,False,30.0,True,True,Q,Spouse,0.0,False,True,True,False,False,True,employed,irregular_seasonal,2.0,True,True,False,False,False,False,0,0,False,False,False,False,False,,,,,0,0.0,False,False,False,0,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,0,0,0
13,C,True,50.0,False,True,P,Spouse,2.0,True,True,True,False,True,True,employed,salaried,3.0,False,False,False,False,True,False,0,0,False,False,False,True,False,,,,,0,0.0,False,False,False,2,True,False,False,False,2,False,True,False,False,True,True,False,False,False,False,1,0,1
14,A,False,50.0,True,False,Q,Head,1.0,False,True,True,False,True,False,housewife_or_student,not_working,2.0,True,False,False,False,False,False,0,0,True,False,False,False,False,,,,,1,4.0,False,False,False,3,True,False,False,False,2,True,True,False,False,True,True,False,False,False,False,1,0,4
15,I,True,19.0,True,False,Q,Son/Daughter,2.0,True,True,True,True,True,False,housewife_or_student,not_working,1.0,False,False,False,False,False,False,0,0,False,False,True,False,False,,,,,0,0.0,False,False,False,0,True,True,True,False,1,True,False,False,False,False,False,False,False,False,False,0,0,0
16,J,False,49.0,False,False,X,Head,0.0,False,True,False,False,False,True,employed,irregular_seasonal,4.0,True,False,False,False,False,False,2,2,False,False,False,False,False,,,,,3,5.0,True,False,False,0,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,0,0,0
17,G,False,35.0,True,True,X,Spouse,2.0,True,True,True,True,True,True,employed,self_employed,2.0,True,True,False,True,False,False,2,2,False,True,True,True,True,,,,10.0,0,0.0,True,True,False,2,False,True,False,True,2,True,False,True,False,True,False,True,False,True,False,1,1,4
18,D,False,55.0,True,False,X,Head,0.0,False,True,False,False,False,True,employed,irregular_seasonal,5.0,True,False,False,True,False,False,0,0,False,False,True,True,False,,,,,1,2.0,False,False,False,0,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,0,0,0
19,G,False,21.0,True,False,X,Head,2.0,True,True,False,True,False,True,employed,self_employed,5.0,True,True,False,True,False,False,0,0,True,True,True,False,False,,,,,1,4.0,False,False,False,2,True,True,True,True,2,False,False,True,False,True,False,True,False,True,False,1,1,4
20,G,True,28.0,True,True,X,Spouse,1.0,True,True,True,True,True,True,employed,self_employed,3.0,False,False,False,True,False,False,0,0,True,False,False,True,True,,,,,0,0.0,False,False,False,3,True,True,True,True,2,True,True,True,False,True,True,True,False,False,False,2,0,6
21,I,False,52.0,False,True,Q,Head,2.0,True,True,False,False,True,True,employed,salaried,4.0,False,False,False,False,True,False,0,1,False,False,False,False,False,,,,,1,4.0,False,False,False,1,True,True,False,False,2,False,False,False,False,False,False,False,False,False,True,1,0,2
22,A,True,19.0,False,False,P,Son/Daughter,3.0,True,True,True,False,True,False,housewife_or_student,not_working,2.0,False,True,False,False,False,False,1,2,False,False,True,False,False,,,,,1,4.0,False,False,False,3,True,True,True,True,2,True,False,True,False,True,False,True,False,False,False,2,1,4
23,I,True,17.0,False,True,O,Son/Daughter,0.0,False,True,True,False,False,True,employed,self_employed,5.0,False,False,False,True,False,False,0,0,False,False,False,False,False,,,,,0,0.0,False,False,False,3,True,True,False,False,2,True,False,False,False,False,False,False,False,False,True,1,0,1
24,G,False,67.0,True,False,X,Head,2.0,True,True,True,True,True,True,employed,irregular_seasonal,2.0,True,True,True,False,False,False,1,2,True,True,True,True,True,,,,,2,5.0,True,False,True,2,True,True,False,True,2,True,True,True,True,True,True,True,True,True,False,3,1,5
25,C,False,67.0,False,True,P,Head,1.0,True,True,True,False,False,False,other,other,4.0,False,True,False,False,False,False,0,0,False,False,False,False,False,,,,,0,0.0,False,False,False,1,True,False,False,False,2,False,True,False,False,True,False,False,False,False,False,1,0,1
26,A,False,56.0,False,True,Q,Head,0.0,False,True,True,False,False,True,employed,self_employed,5.0,False,False,False,False,False,False,1,2,False,False,True,False,True,,,,,1,4.0,False,True,False,2,True,False,False,False,2,False,False,False,False,False,False,False,False,False,False,0,0,0
27,I,False,34.0,False,True,Q,Sister/Brother,2.0,True,True,False,True,True,True,employed,salaried,5.0,False,False,False,False,True,False,0,0,False,False,False,False,False,,,,,0,0.0,False,False,False,1,True,True,False,False,2,False,False,False,False,False,False,False,False,False,False,0,0,0
28,D,False,23.0,False,False,X,Son/Daughter,1.0,True,True,True,False,True,True,employed,self_employed,1.0,True,False,False,True,False,False,0,0,True,False,True,False,True,,,,,1,4.0,False,False,False,3,True,True,True,True,2,True,False,True,False,True,False,True,False,False,False,2,0,3
